All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value (CADmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Geographic Locations [Target/Issuer],Business Description [Target/Issuer],Exchange Country [Primary Listing] [Target/Issuer],Exchange Country [Secondary Listings] [Target/Issuer]
02/25/2019,Neovasc Inc. (TSX:NVCN),TSX:NVCN,Public Offering,Closed, 6.59 ,-,-,IQTR604209450,Health Care (Primary),Canada (Primary),"Neovasc Inc., a specialty medical device company, develops, manufactures, and markets medical devices worldwide. Its products include the Tiara technology for the transcatheter treatment of mitral valve disease; and the Neovasc Reducer for the treatment of refractory angina. The company was formerly known as Medical Ventures Corp. and changed its name to Neovasc Inc. in July 2008. Neovasc Inc. was incorporated in 2000 and is headquartered in Richmond, Canada.","TSX:NVCN
Company: Neovasc Inc.
(IQT46472100) - Canada",-
02/22/2019,Bausch Health Companies Inc. (NYSE:BHC),NYSE:BHC,Public Offering,Closed, 659.08 ,-,-,IQTR604101846,Health Care (Primary),Canada (Primary),"Bausch Health Companies Inc. develops, manufactures, and markets a range of pharmaceutical, medical device, and over-the-counter (OTC) products primarily in the therapeutic areas of eye health, gastroenterology, and dermatology. The company operates through four segments: Bausch + Lomb/International, Salix, Ortho Dermatologics, and Diversified Products. The Bausch + Lomb/International segment offers products with a focus on the vision care, surgical, and consumer and ophthalmology Rx products in the United States; and Solta products, branded and generic pharmaceutical products, OTC products, and medical device products, and Bausch + Lomb products in Canada, Europe, Asia, Australia, Latin America, Africa, and the Middle East. The Salix segment provides gastroenterology products in the United States. The Ortho Dermatologics segment offers dermatological products in the United States; and Solta medical aesthetic devices internationally. The Diversified Products segment provides pharmaceutical products in the areas of neurology and other therapeutic classes, as well as generic and dentistry products in the United States. The company was formerly known as Valeant Pharmaceuticals International, Inc. and changed its name to Bausch Health Companies Inc. in July 2018. Bausch Health Companies Inc. was founded in 1983 and is headquartered in Laval, Canada.",-,"TSX:BHC
Company: Bausch Health Companies Inc.
(IQT2594579) - Canada"
02/21/2019,Trillium Therapeutics Inc. (TSX:TRIL),TSX:TRIL,Public Offering,Closed, 19.77 ,-,-,IQTR603748961,Health Care (Primary),Canada (Primary),"Trillium Therapeutics Inc., a clinical-stage immuno-oncology company, develops therapies for the treatment of cancer. The company’s lead program is TTI-621, a SIRPaFc fusion protein that acts a soluble decoy receptor preventing CD47 from delivering its inhibitory signal, which is in Phase Ib clinical trials for advanced hematologic malignancies, and solid tumors and mycosis fungoides. Its product candidates also include TTI-622, an IgG4 SIRPaFc protein for combination therapy; and TTI-2341, an epidermal growth factor receptor antagonist, which is in preclinical development stage, as well as undisclosed immuno-oncology targets that are in the discovery Phase. The company was formerly known as Stem Cell Therapeutics Corp. and changed its name to Trillium Therapeutics Inc. in June 2014. Trillium Therapeutics Inc. was founded in 2004 is headquartered in Mississauga, Canada.","TSX:TRIL
Company: Trillium Therapeutics Inc.
(IQT13556077) - Canada",-
02/20/2019,SQI Diagnostics Inc. (TSXV:SQD),TSXV:SQD,Private Placement,Closed, 2.26 ,Hanover Investors Management LLP; Cumberland Private Wealth Management Inc.,-,IQTR603375486,Health Care (Primary),Canada (Primary),"SQI Diagnostics Inc., a life sciences company, develops and commercializes proprietary technologies and products for advanced multiplexing diagnostics in Canada. The company offers sqidworks diagnostic platform, a fully-automated microarray processing and analytical system; sqidlite benchtop diagnostic platform, a fully automated bench top microarray processing and analytical system; and sqid-X, a semi-automated bench-top platform. Its products are used in immunogenicity and bioanalysis, IVD and clinical, biomarkers, and assay development applications. SQI Diagnostics Inc. has a co-develop and licensing agreement with McMaster University Department of Engineering to develop chip technology for use in multi-array disease testing; and research and development agreements with University Health Network to create and license rapid multiplexed protein assays, as well as a point-of-care diagnostic device to enable transplant surgeons assess the suitability of lungs and other organs for transplantation. The company was founded in 1999 and is headquartered in Toronto, Canada.","TSXV:SQD
Company: SQI Diagnostics Inc.
(IQT34231255) - Canada",-
02/19/2019,Canada House Wellness Group Inc. (CNSX:CHV),CNSX:CHV,Private Placement,Closed, 3.3 ,-,-,IQTR603159327,Health Care (Primary),Canada (Primary),"Canada House Wellness Group Inc., through its subsidiaries, provides patient-specific cannabinoid therapy products and services. It offers its products and services through clinics and licensed producers. Canada House Wellness Group Inc. has a strategic partnership with Peak Pharma Solutions Inc. The company is headquartered in Pickering, Canada.","CNSX:CHV
Company: Canada House Wellness Group Inc.
(IQT417812352) - Canada",-
02/19/2019,WELL Health Technologies Corp. (TSXV:WELL),TSXV:WELL,Private Placement,Closed, 2.73 ,Horizons Ventures Limited,-,IQTR603187196,Health Care (Primary),Canada (Primary),"WELL Health Technologies Corp. owns and operates a portfolio of primary healthcare facilities. The company was formerly known as Wellness Lifestyles Inc. and changed its name to WELL Health Technologies Corp. in July 2018. As at December 31, 2018, it operated 19 medical clinics. WELL Health Technologies Corp. is headquartered in Vancouver, Canada.","TSXV:WELL
Company: WELL Health Technologies Corp.
(IQT434799348) - Canada",-
02/15/2019,Sirona Biochem Corp. (TSXV:SBM),TSXV:SBM,Private Placement,Closed, 1.78 ,-,-,IQTR602885638,Health Care (Primary),Canada (Primary),"Sirona Biochem Corp. operates as a cosmetic ingredient and drug discovery company in Canada and France. The company develops programs in three areas, including diabetes, anti-inflammatories, and anti-infectives for therapeutics; anti-aging and depigmenting agents in cosmeceuticals; and biological ingredients, such as inducers and adjuvants for the biological development and preservation. It develops a sodium glucose co-transporter inhibitor for the treatment of diabetes, as well as cosmetic skin lightening agents and compounds. The company was formerly known as High Rider Capital Inc. and changed its name to Sirona Biochem Corp. in May 2009. Sirona Biochem Corp. was incorporated in 2006 and is headquartered in Vancouver, Canada.","TSXV:SBM
Company: Sirona Biochem Corp.
(IQT58893998) - Canada",-
02/14/2019,Acasti Pharma Inc. (TSXV:ACST),TSXV:ACST,Public Offering,Announced,-,-,-,IQTR602452909,Health Care (Primary),Canada (Primary),"Acasti Pharma Inc., a biopharmaceutical company, focuses on the research, development, and commercialization of prescription drugs for the treatment of cardiovascular diseases. Its lead product candidate is CaPre, an omega-3 phospholipid therapeutic that is in Phase III clinical trial to treat patients with hypertriglyceridemia. The company was incorporated in 2002 and is headquartered in Laval, Canada.","TSXV:ACST
Company: Acasti Pharma Inc.
(IQT129334454) - Canada",-
02/14/2019,Biocure Technology Inc. (CNSX:CURE),CNSX:CURE,Private Placement,Effective, 3.0 ,-,-,IQTR602470350,Health Care (Primary),Canada (Primary),"Biocure Technology Inc. develops and commercializes biopharmaceutical technologies for uses in recombinant and ranibizumab in South Korea. The company is developing Interferons- ß for the treatment of multiple sclerosis; Ranibizumab, a monoclonal antibody fragment for the treatment of macular degeneration, as well as to treat a type of eye problem known as macular edema; and Filgrastim to treat neutropenia, a lack of white blood cells caused by cancer, bone marrow transplant, chemotherapy, or by other conditions. It is also developing CAR T Cell Therapy that identifies and destroys cancer cells; a foot and mouth disease vaccine; a hair growth production product; and a breast cancer detection kit. Biocure Technology Inc. is headquartered in Vancouver, Canada.","CNSX:CURE
Company: Biocure Technology Inc.
(IQT545093978) - Canada",-
02/12/2019,BriaCell Therapeutics Corp. (TSXV:BCT),TSXV:BCT,Private Placement,Closed, 0.195 ,-,-,IQTR602308875,Health Care (Primary),Canada (Primary),"BriaCell Therapeutics Corp., an immuno-oncology focused biotechnology company, engages in developing approaches for the management of cancer. The company, in collaboration with Incyte Corp., is conducting a Phase I/IIa clinical trial of Bria-IMT, its lead candidate, in a combination study with Incyte drugs, INCMGA00012 and epacadostat, in advanced breast cancer. It also develops Bria-OTS, an off-the-shelf personalized immunotherapy, for advanced breast cancer. The company was incorporated in 2006 and is headquartered in West Vancouver, Canada.","TSXV:BCT
Company: BriaCell Therapeutics Corp.
(IQT29557279) - Canada",-
02/11/2019,Cognetivity Neurosciences Ltd. (CNSX:CGN),CNSX:CGN,Private Placement,Announced, 2.5 ,-,-,IQTR601985292,Health Care (Primary),Canada (Primary),"Cognetivity Neurosciences Ltd. operates as a healthcare company. It develops integrated cognitive assessment, a cognitive testing platform, which includes visual stimulus based diagnostic test and artificial intelligence tools to support the early detection and monitoring of cognitive impairment in neurodegenerative diseases, such as Alzheimer’s and dementia. The company is headquartered in Vancouver, Canada.","CNSX:CGN
Company: Cognetivity Neurosciences Ltd.
(IQT556284961) - Canada",-
02/08/2019,StageZero Life Sciences Ltd. (TSX:SZLS),TSX:SZLS,Private Placement,Announced,-,-,-,IQTR607642194,Health Care (Primary),Canada (Primary),"StageZero Life Sciences Ltd. focuses on developing and commercializing proprietary molecular diagnostic tests for the early detection of diseases and personalized health management with a primary focus on cancer-related indications. Its proprietary platform technology, the Sentinel Principle, identifies novel biomarkers from whole blood. The company’s lead product is ColonSentry, a blood test to determine an individual’s current risk for having colorectal cancer. The company was formerly known as GeneNews Limited. StageZero Life Sciences Ltd. was founded in 1998 and is headquartered in Richmond Hill, Canada.","TSX:SZLS
Company: StageZero Life Sciences Ltd.
(IQT29828484) - Canada",-
02/04/2019,Antibe Therapeutics Inc. (TSXV:ATE),TSXV:ATE,Public Offering,Closed, 5.0 ,-,-,IQTR600965977,Health Care (Primary),Canada (Primary),"Antibe Therapeutics Inc., a pharmaceutical development company, originates, develops, and out-licenses patent protected pharmaceuticals in Canada, Europe, the United States, and internationally. Its drugs are designed to prevent the gastrointestinal damage and bleeding caused by non-steroidal anti-inflammatory drugs. The company’s lead compound is ATB-346, a hydrogen sulfide-releasing derivative of naproxen for treating rheumatoid arthritis, ankylosing spondylitis, and general pain reduction, which has completed Phase 2B gastrointestinal safety study. Its products also comprise ATB-352, which is in preclinical stage for the treatment of gout, dental pain, post-surgical pain, etc.; and ATB-340 that is in preclinical development stage for the treatment of cardiovascular disease and cancer chemoprevention. In addition, it offers various tissue regenerating products, such as bone grafting and dental membrane solutions for the dental and orthopedic markets; and surgical instruments for dental surgery, plastic surgery, general surgery and specialties, and veterinary applications. The company was incorporated in 2009 and is headquartered in Toronto, Canada.","TSXV:ATE
Company: Antibe Therapeutics Inc.
(IQT241870185) - Canada",-
02/04/2019,Premier Diversified Holdings Inc. (TSXV:PDH),TSXV:PDH,Private Placement,Announced, 0.75 ,Corner Market Capital Corporation,-,IQTR600971880,Health Care (Primary),Canada (Primary),"Premier Diversified Holdings Inc., through its subsidiaries, designs, finances, and operates medical diagnostic imaging centers in Canada. It operates through two segments, Investments and Operation of Diagnostic Centers. The company’s medical diagnostic imaging centers provide positron emission technology/computed tomography (PET-CT) scans. It operates PET-CT diagnostic scanning center in Burnaby, British Columbia. The company is headquartered in Burnaby, Canada.","TSXV:PDH
Company: Premier Diversified Holdings Inc.
(IQT246518802) - Canada",-
01/31/2019,Resverlogix Corp. (TSX:RVX),TSX:RVX,Private Placement,Closed,-,"Shenzhen Hepalink Pharmaceutical Group Co., Ltd. (SZSE:002399)",-,IQTR600485153,Health Care (Primary),Canada (Primary),"Resverlogix Corp. operates as a late-stage clinical biotechnology company. It is developing apabetalone (RVX-208), a small molecule selective bromodomain and extra-terminal inhibitor that is in Phase III clinical trials for patients with cardiovascular, chronic kidney, end-stage renal, neurodegenerative, fabry, peripheral artery, and other orphan diseases, as well as diabetes mellitus. The company is headquartered in Calgary, Canada.","TSX:RVX
Company: Resverlogix Corp.
(IQT2590484) - Canada",-
01/31/2019,iCo Therapeutics Inc. (TSXV:ICO),TSXV:ICO,Private Placement,Closed, 1.25 ,-,-,IQTR600505972,Health Care (Primary),Canada (Primary),"iCo Therapeutics Inc., a biotechnology company, focuses on the identification, development, and commercialization of drug candidates to treat sight and life threatening diseases. Its in-licensed product candidates include iCo-008, a human monoclonal antibody, which is in Phase II clinical trial to treat ulcerative colitis and bullous pemphigoid; and Oral AmpB Delivery System, an oral formulation of Amphotericin B that is in clinical stage for the treatment of systemic fungal and parasitic infections. The company was founded in 2005 and is headquartered in Vancouver, Canada.","TSXV:ICO
Company: iCo Therapeutics Inc.
(IQT39861103) - Canada",-
01/25/2019,Lexaria Bioscience Corp. (OTCPK:LXRP),OTCPK:LXRP,Private Placement,Closed, 0.174 ,-,-,IQTR600121885,Health Care (Primary),Canada (Primary),"Lexaria Bioscience Corp. focuses on the development of its proprietary nutrient infusion technologies for the production of superfoods. It operates in two segments, Intellectual Property Licensing and Consumer Products. The company develops and licenses DehydraTECH, a patented lipid nutrient infusion technology that improves taste, rapidity, and delivery of bioactive compounds that include cannabinoids, vitamins, NSAIDs, nicotine, and other molecules. It is also involved in the development, production, and distribution of enhanced functional food and supplement products under the ViPova and Lexaria Energy brands. The company was formerly known as Lexaria Corp. and changed its name to Lexaria Bioscience Corp. in April 2016. Lexaria Bioscience Corp. was founded in 2004 and is based in Kelowna, Canada.",-,"CNSX:LXX
Company: Lexaria Bioscience Corp.
(IQT241590134) - Canada"
01/24/2019,Arch Biopartners Inc. (OTCPK:ACHF.F),OTCPK:ACHF.F,Private Placement,Closed, 0.5 ,-,-,IQTR599537055,Health Care (Primary),Canada (Primary),"Arch Biopartners Inc., a biotechnology company, develops technologies for improving the health of patients. The company develops AB569, a drug candidate for the treatment of antibiotic resistant lung and urinary tract bacterial infections, as well as to treat pseudomonas aeruginosa infections in the respiratory tracts of patients with cystic fibrosis. It also develops MetaBlok, a drug candidate for the treatment of sepsis, cancer metastasis, and inflammation based diseases, as well as in a phase I safety trial for treating acute kidney injury; and Arch inflammation treatments for chronic kidney and bowel diseases caused by non-infectious inflammation. In addition, the company develops Borg, a Peptide-solid surface interface to inhibit biofilm formation and reduce corrosion; and MetaMx synthetic molecules that targets brain tumor initiating cells and invasive glioma cells. Arch Biopartners Inc. is headquartered in Toronto, Canada.",-,"TSXV:ARCH
Company: Arch Biopartners Inc.
(IQT246708499) - Canada"
01/22/2019,"ProMIS Neurosciences, Inc. (TSX:PMN)",TSX:PMN,Private Placement,Closed, 2.2 ,-,-,IQTR599397398,Health Care (Primary),Canada (Primary),"ProMIS Neurosciences, Inc., a development stage biotech company, discovers and develops precision medicine therapeutics for the treatment of neurodegenerative diseases, primarily Alzheimer’s disease (AD), amyotrophic lateral sclerosis (ALS), and Parkinson’s disease (PD). Its proprietary target discovery engine is based on the use of two complementary techniques. The company applies its thermodynamic, computational discovery platform—ProMIS and Collective Coordinates to predict novel targets known as disease specific epitopes on the molecular surface of misfolded proteins. Its lead product candidates include PMN310, a monoclonal antibody (mAb); PMN350, a mAb targeting on toxic amyloid beta oligomers (AßO); and PMN330, a monoclonal antibody targeting toxic prionlike forms of AßO for AD. The company is also developing therapeutics targeting the neurotoxic form of the tau protein in AD; and superoxide dismutase 1 and TAR-DNA binding protein 43 in ALS, as well as alpha synuclein in PD and Lewy body dementia. The company was formerly known as Amorfix Life Sciences Ltd. and changed its name to ProMIS Neurosciences, Inc. in July 2015. ProMIS Neurosciences, Inc. was incorporated in 2004 and is headquartered in Toronto, Canada.","TSX:PMN
Company: ProMIS Neurosciences, Inc.
(IQT24191293) - Canada",-
01/18/2019,Vitalhub Corp. (TSXV:VHI),TSXV:VHI,Private Placement,Closed, 3.3 ,-,-,IQTR598855410,Health Care (Primary),Canada (Primary),"VitalHub Corp., together with its subsidiaries, develops and supports healthcare information systems in the mental health, long term care, community health service, and hospital sectors in Canada and the United States. Its technologies include blockchain, mobile and Web-based assessment, and electronic healthcare record solutions. The company is based in Toronto, Canada.","TSXV:VHI
Company: Vitalhub Corp.
(IQT411552553) - Canada",-
01/18/2019,Preferred Dental Technologies Inc. (CNSX:PDTI),CNSX:PDTI,Private Placement,Effective, 0.25 ,-,-,IQTR598871554,Health Care (Primary),Canada (Primary),"Preferred Dental Technologies Inc. develops and commercializes various technologies in the dental implant industry. It offers EAS components for custom dental abutments for dental implants. The company is headquartered in Winnipeg, Canada.","CNSX:PDTI
Company: Preferred Dental Technologies Inc.
(IQT529428534) - Canada",-
01/15/2019,RepliCel Life Sciences Inc. (OTCPK:REPC.F),OTCPK:REPC.F,Private Placement,Closed, 0.028 ,-,-,IQTR599272169,Health Care (Primary),Canada (Primary),"RepliCel Life Sciences Inc., a regenerative medicine company, focuses on developing autologous cell therapies that treat functional cellular deficits. Its treatments use autologous cell therapy, which isolates an individual’s own cells from harvested tissues and growing more in controlled conditions in a laboratory. The company’s product candidates include RCT-01 for the treatment of chronic tendinosis; RCS-01 to treat aging and sun damaged skin; and RCH-01 for the treatment of hair loss. It is also developing RCI-02, a dermal injection device. The company has collaboration agreement with YOFOTO (China) Health Industry Co. Ltd. to develop and commercialize RCS-01; and collaboration and technology transfer agreement with Shiseido Company, Limited for establishing a clinical research program for RCH-01. RepliCel Life Sciences Inc. is headquartered in Vancouver, Canada.",-,"TSXV:RP
Company: RepliCel Life Sciences Inc.
(IQT254079093) - Canada"
01/09/2019,VentriPoint Diagnostics Ltd. (TSXV:VPT),TSXV:VPT,Private Placement,Closed, 1.51 ,-,-,IQTR597667127,Health Care (Primary),Canada (Primary),"Ventripoint Diagnostics Ltd., a medical device company, develops and commercializes diagnostic tools that monitor patients with heart disease primarily in Canada, the United States, and Europe. The company offers Ventripoint Medical System, a medical imaging system that is used to generate three-dimensional models with critical volume and functional measurements of a patient’s heart chambers. It also develops a suite of applications for various heart diseases and imaging modalities, including congenital heart diseases, left or right heart failure, and normal hearts. The company is headquartered in Toronto, Canada.","TSXV:VPT
Company: VentriPoint Diagnostics Ltd.
(IQT37361106) - Canada",-
01/09/2019,Theralase Technologies Inc. (TSXV:TLT),TSXV:TLT,Private Placement,Closed, 1.43 ,-,-,IQTR597670050,Health Care (Primary),Canada (Primary),"Theralase Technologies Inc., a clinical stage pharmaceutical company, engages in the research and development of photo dynamic compounds (PDCs) and their associated drug formulations to destroy various cancers in Canada, the United States, and internationally. It operates in two divisions, Anti-Cancer Therapy and Medical Laser Technology. The company also designs, develops, manufactures, and commercializes medical laser systems and other technologies for the activation of PDCs; designs, develops, manufactures, and markets patented and proprietary super-pulsed laser technology for the healing of chronic knee pain, as well as for off-label use to heal various nerve, muscle, and joint conditions. Its products include TLC-1000, TLC-2000, and controllerless series laser technology products for the elimination of pain, reduction of inflammation, and acceleration of healing, as well as TLC-1000 and TLC-2000 accessories; and Theralase therapeutic laser treatments for patients, including pain management, arthritis, wound healing, addiction rehabilitation and weight loss, and anti-aging, as well as companion animals and equine. The company sells its products to healthcare practitioners. Theralase Technologies Inc. was founded in 1995 and is headquartered in Toronto, Canada.","TSXV:TLT
Company: Theralase Technologies Inc.
(IQT12454055) - Canada",-
12/21/2018,"Abacus Health Products, Inc. (CNSX:ABCS)",CNSX:ABCS,Private Placement,Closed, 19.88 ,-,-,IQTR596020290,Health Care (Primary),Canada (Primary),"Abacus Health Products, Inc. manufactures and sells over-the-counter (OTC) topical formulations infused with cannabidiol (CBD) extracted from hemps. The company offers CBD CLINIC line of products for relief from acute musculoskeletal and joint pain, which includes analgesic ointments, creams, and pain sticks, as well as analgesic massage oils. It also provides CBDMEDIC line of products, such as sport ointments and pain sticks, back and neck ointments, arthritis hand creams and ointments, and massage therapy oils, as well as ointments and pain sprays for muscles and joints. The company offers its CBD CLINIC products to registered health practitioners, including chiropractors, acupuncturists, massage and physical therapists, naturopaths, and osteopaths; and CBDMEDIC products directly to consumers through retail pharmacy chains and fitness locations, as well as online through the e-commerce platform. In addition, it is involved in developing a pipeline of other OTC CBD products addressing additional medical indications and the health and wellness sectors. The company is headquartered in Toronto, Canada. Abacus Health Products, Inc. is a subsidiary of Aidance Skincare & Topical Solutions, LLC.","CNSX:ABCS
Company: Abacus Health Products, Inc.
(IQT600224541) - Canada",-
12/20/2018,Willow Biosciences Inc. (CNSX:WLLW),CNSX:WLLW,Private Placement,Closed, 29.22 ,"Tuatara Capital, L.P.",-,IQTR595707443,Health Care (Primary),Canada (Primary),"Willow Biosciences Inc. engages in the biosynthetic production of plant-derived compounds. The company, through its integrated suite of technologies, developing manufacturing processes for various active pharmaceutical ingredients with various therapeutic benefits, including cancer treatment, pain management, and CNS disorders. It also owns proprietary yeast-based lab strains in the cannabinoid field that produce CBD, tetrahydrocannabinol, and cannabigerol, as well as cannabinoids. The company was founded in 2019 and is headquartered in Calgary, Canada.","CNSX:WLLW
Company: Willow Biosciences Inc.
(IQT610453680) - Canada",-
12/20/2018,Geyser Brands Inc. (TSXV:GYSR),TSXV:GYSR,Private Placement,Closed, 0.421 ,-,-,IQTR597027553,Health Care (Primary),Canada (Primary),"Geyser Brands Inc., a consumer healthcare company, builds health-based hemp and CBD consumer products in the nutraceutical, cosmetics, food and beverage, and pet sectors worldwide. The company is based in Vancouver, Canada.","TSXV:GYSR
Company: Geyser Brands Inc.
(IQT596162061) - Canada",-
12/19/2018,Gaia Grow Corp. (TSXV:GAIA),TSXV:GAIA,Private Placement,Closed, 4.51 ,-,-,IQTR595616751,Health Care (Primary),Canada (Primary),"Gaia Grow Corp., through its subsidiaries, focuses on the cultivation and sale of industrial hemp for medical uses in Canada. The company is headquartered in Vancouver, Canada.","TSXV:GAIA
Company: Gaia Grow Corp.
(IQT630614170) - Canada",-
12/17/2018,KDA Group Inc. (TSXV:KDA),TSXV:KDA,Private Placement,Closed, 3.22 ,-,-,IQTR595472250,Health Care (Primary),Canada (Primary),"KDA Group Inc. provides pharmacy personnel replacement and vocational training services to health industry in the Province of Quebec, Canada. The company operates through Pharmacy Services and Pharmaceutical Solutions segments. It primarily offers replacement pharmacists and technical assistants. The company also provides consulting services to assist in optimizing pharmacy operations, including container-content verification delegation, optimization of laboratory operations, professional services and care plans, and inventory management. In addition, it is involved in the distribution of generic pharmaceutical products. The company was formerly known as AlliancePharma Inc. and changed its name to KDA Group Inc. in February 2017. KDA Group Inc. is headquartered in Thetford Mines, Canada.","TSXV:KDA
Company: KDA Group Inc.
(IQT282005982) - Canada",-
12/13/2018,Avicanna Inc. (TSX:AVCN),TSX:AVCN,Private Placement,Closed, 22.15 ,-,-,IQTR630401644,Health Care (Primary),Canada (Primary),"Avicanna Inc. focuses on the research and development, cultivation, manufacture, and commercialization of plant-derived cannabinoid-based products and extracts in North America, Latin America, Europe, and Asia. It intends to offer plant-derived cannabinoid pharmaceuticals, phyto-therapeutics, derma-cosmetics, and extracts. The company was founded in 2016 and is headquartered in Toronto, Canada.","TSX:AVCN
Company: Avicanna Inc.
(IQT628278928) - Canada",-
12/12/2018,DIAGNOS Inc. (TSXV:ADK),TSXV:ADK,Private Placement,Closed, 0.333 ,-,-,IQTR594820365,Health Care (Primary),Canada (Primary),"DIAGNOS Inc. provides software-based interpretation services in Canada, the United States, Kenya, the United Arab Emirates, Saudi Arabia, Mexico, and internationally. It offers image analysis services through Computer Assisted Retinal Analysis, a software tool that assists health specialists in the detection of diabetic retinopathy. The company was founded in 1998 and is headquartered in Brossard, Canada.","TSXV:ADK
Company: DIAGNOS Inc.
(IQT2605851) - Canada",-
12/10/2018,BELLUS Health Inc. (TSX:BLU),TSX:BLU,Public Offering,Closed, 35.0 ,-,-,IQTR594501044,Health Care (Primary),Canada (Primary),"BELLUS Health Inc., a clinical-stage biopharmaceutical company, develops novel therapeutics for conditions with high unmet medical need. Its lead drug candidate includes BLU-5937, a small molecule antagonist of the P2X3 receptor for chronic cough. The company also has economic interests in various partnered development stage programs, including KIACTA for the treatment of sarcoidosis; AMO-01 for treatment of Phelan McDermid syndrome; and ALZ-801 for APOE4 homozygous Alzheimer’s disease. BELLUS Health Inc. was founded in 1993 and is headquartered in Laval, Canada.","TSX:BLU
Company: BELLUS Health Inc.
(IQT45480612) - Canada",-
12/07/2018,Cronos Group Inc. (TSX:CRON),TSX:CRON,Private Placement,Closed," 2,376.09 ",Altria Summit LLC,-,IQTR594204822,Health Care (Primary),Canada (Primary),"Cronos Group Inc., formerly known as PharmaCan Capital Corp., is a principal investment firm. The firm seeks to invest in companies either licensed, or actively seeking a license, to produce medical marijuana pursuant to Canada’s Marihuana for Medical Purposes Regulations (“MMPR”). The firm typically invests in companies based in Canada. The firm is primarily an equity investor, may also advance debt as appropriate. It seeks to make minority investments with appropriate governance and shareholder rights. The firm seeks board representation consistent with the size of the investment, but does not need control. Cronos Group Inc. was incorporated in January, 2013 and is based in Toronto, Canada with an additional office in in Toronto, Canada.","TSX:CRON
Company: Cronos Group Inc.
(IQT266973677) - Canada",-
12/06/2018,Helix BioPharma Corp. (TSX:HBP),TSX:HBP,Private Placement,Closed, 2.26 ,-,-,IQTR594128051,Health Care (Primary),Canada (Primary),"Helix BioPharma Corp., an immune-oncology company, focuses on the development of cancer drugs in Canada. It is developing L-DOS47 for the treatment of non-squamous small cell lung cancer; V-DOS47 that targets the vascular epithelial growth factor receptor 2; and chimeric antigen receptor T-cell (CAR-T) therapeutic for the treatment of hematological and solid tumors. Helix BioPharma Corp. has collaboration agreements with Moffitt Cancer Center to investigate the pharmacodynamics of L-DOS47 and determine the benefits of combining L-DOS47 with immune checkpoint inhibitors; and with ProMab Biotechnologies, Inc. to develop novel antibody and chimeric antigen receptor T-cell therapy for hematological malignancies, as well as a collaborative research agreement with Affilogic to assess proprietary anti-tumor targeting agents in combination with DOS47. The company is headquartered in Richmond Hill, Canada.","TSX:HBP
Company: Helix BioPharma Corp.
(IQT2618189) - Canada",-
12/06/2018,H-Source Holdings Ltd. (TSXV:HSI),TSXV:HSI,Private Placement,Closed, 0.4 ,-,-,IQTR594224113,Health Care (Primary),Canada (Primary),"H-Source Holdings Ltd., a technology company, operates in the healthcare industry. It offers a hospital-to-hospital transaction platform that provides a marketplace for members to buy, sell, and transfer excess inventory supplies and capital equipment with each other. The company’s platform allows members to conduct transactions within integrated delivery networks and group purchasing organizations. H-Source Holdings Ltd. is headquartered in Vancouver, Canada.","TSXV:HSI
Company: H-Source Holdings Ltd.
(IQT377711030) - Canada",-
11/30/2018,Aurinia Pharmaceuticals Inc. (TSX:AUP),TSX:AUP,Public Offering,Closed, 39.69 ,-,-,IQTR593534016,Health Care (Primary),Canada (Primary),"Aurinia Pharmaceuticals Inc., a clinical stage biopharmaceutical company, engages in the research, development, and commercialization of therapeutic drugs for the treatment of various diseases in the United States and China. The company is involved in developing voclosporin, an investigational drug for the treatment of lupus nephritis, dry eye syndrome, and focal segmental glomerulosclerosis. Aurinia Pharmaceuticals Inc. is headquartered in Victoria, Canada.","TSX:AUP
Company: Aurinia Pharmaceuticals Inc.
(IQT2622592) - Canada",-
11/27/2018,Liminal BioSciences Inc. (TSX:LMNL),TSX:LMNL,Public Offering,Announced, 50.0 ,-,-,IQTR593224334,Health Care (Primary),Canada (Primary),"Liminal BioSciences Inc. operates as a biopharmaceutical company with two drug discovery platforms that focuses on unmet medical needs. It operates through three segments: Small Molecule Therapeutics, Plasma Derived Therapeutics, and Bioseparations. The Small Molecule Therapeutics segment’s lead product candidate is PBI-4050, which targets unmet medical needs, such as the treatment of idiopathic pulmonary fibrosis, Alström syndrome, and other fibrotic indications. The Plasma Derived Therapeutics segment provides Plasma Protein Purification System, a multi-product sequential purification process for the extraction and purification of therapeutic proteins from human plasma. It also engages in developing Ryplazim for the treatment of congenital plasminogen deficiency. The Bioseparations segment develops and manufactures affinity absorbents and Mimetic Ligand purification platform that are used by pharmaceutical and medical companies for extraction and purification manufacturing processes. In addition, it develops processes to recover and purify various other proteins from plasma, including intravenous immunoglobulin, inter-alpha-inhibitor-proteins, fibrinogen, alpha1 antitrypsin, and C1 esterase inhibitor. The company was formerly known as Prometic Life Sciences Inc. and changed its name to Liminal BioSciences Inc. in October 2019. Liminal BioSciences Inc. was incorporated in 1994 and is headquartered in Laval, Canada.","TSX:LMNL
Company: Liminal BioSciences Inc.
(IQT2640774) - Canada",-
