Deal ID,Company Name,Deal Date,Deal Type,Deal Type 2,Deal Size,Post Valuation,Deal Synopsis,Deal Status,Financing Status,Business Status,Investors,Primary Industry Code,Verticals,Description,HQ Location,Company Website,PitchBook Link
110877-31T,Corowave,31-Jul-2018,Accelerator/Incubator,,,,"The company joined TandemLaunch as part of its Entrepreneur in Residence Program in July, 2018.",Completed,Accelerator/Incubator Backed,Startup,TandemLaunch,Other Consumer Products and Services,"Artificial Intelligence & Machine Learning, Big Data, Digital Health, Internet of Things","Developer of a bio-signals monitoring platform intended to be resilient to movement while being contactless, and having continuous monitoring. The company's platform monitors heart rate, blood pressure, respiration rate and the basic health signals for the human body and use them for other applications such as athlete performance, baby monitoring, sleep monitoring, monitoring the health of drivers enabling users to leverage near-field communication technology, signal processing, and machine learning.","Montreal, Canada",www.corowave.com,View company online
112984-03T,Angiochem,27-Jul-2018,Later Stage VC,Series C,7.50,,"The company raised $7.5 million of Series C venture funding from BDC Healthcare Venture Fund and other undisclosed investors on July 27, 2018. The funding will be used to support ongoing development of ANG1005 for treatment of leptomeningeal carcinomatosis from breast cancer.",Completed,Venture Capital-Backed,Generating Revenue,BDC Healthcare Venture Fund(Jean-François Pariseau),Biotechnology,"Life Sciences, Oncology","Developer of a clinical-stage biotechnology platform designed to treat brain-related disorders. The company's platform provides a focused product pipeline, including small molecules and biologics for the potential treatment of a wide range of CNS diseases, enabling patients to treat primary brain cancer, brain metastases, lysosomal storage diseases and pain easily.","Westmount, Canada",www.angiochem.com,View company online
112056-13T,Trualta Care Network,27-Jul-2018,Accelerator/Incubator,,,,"The company joined Invest Ottawa on July 27, 2018.",Completed,Accelerator/Incubator Backed,Generating Revenue,Invest Ottawa,Other Software,Mobile,"Developer of tech-enabled medical education platform designed for family members to provide education about caregiving for aging seniors. The company's platform provides personalized content and community, tailored to each family's care situation with quality and professional-level training and also provides quizzes to check knowledge and track participation along with participation rewards, enabling healthcare payers and providers to manage and learn about senior caregiving without any hassle.","Toronto, Canada",www.trualta.com,View company online
111010-42T,TryCycle Data Systems,27-Jul-2018,Accelerator/Incubator,,,,"The company joined Invest Ottawa on July 27, 2018.",Completed,Accelerator/Incubator Backed,Generating Revenue,Invest Ottawa,Outcome Management (Healthcare),"HealthTech, Mobile","Developer of a predictive health technology system that is designed to learn human behavior patterns in real time so that practitioners can address patients who are most at risk. The company's technology provides an early warning system that identifies the risk of relapse for each patient using regular self-assessments that are submitted to their treatment clinic, enabling practitioners to identify patients' triggers and change their behavior in recovery.","Ottawa, Canada",www.trycycledata.com,View company online
110082-25T,AlayaCare,25-Jul-2018,Early Stage VC,Series B,10.48,,"The company raised CAD 13.8 million of Series B venture funding in a deal led by inovia Capital on July 25, 2018. Fonds Innovexport and Chrysalis Ventures also participated in the round. The company intends to use the funds for continued expansion with a focus on the US market, and further investment in its proprietary technology platform.",Completed,Venture Capital-Backed,Generating Revenue,"Chrysalis Ventures(Wright Steenrod), Fonds Innovexport(Serge Lavergne), Inovia Capital(Magaly Charbonneau)",Enterprise Systems (Healthcare),"HealthTech, SaaS, TMT","Developer of a cloud-based software platform intended to improve the innovation and efficiencies of home care agencies. The company's platform provides planning, clinical documentation, back office functionality, client and family portals, remote patient monitoring and mobile care worker functionality, offering agencies with a fully integrated solution for completing their tasks effectively and efficiently.","Toronto, Canada",www.alayacare.com,View company online
109665-01T,Inversago Pharma,25-Jul-2018,Early Stage VC,Series A,5.32,6.84,"The company raised CAD 7 million of Series A venture funding in a deal led by Genesys Capital and AmorChem on July 25, 2018, putting the company's pre-money valuation at CAD 2 million. T1D Fund, Anges Québec Capital, Tarnagulla Ventures, Accel-Rx and Anges Québec and other undisclosed angel investors also participated in the round. The company intends to use the funds to advance its peripherally-restricted CB1 inverse agonist/antagonist program into clinical trials.",Completed,Venture Capital-Backed,Pre-Clinical Trials,"Accel-Rx(Frédéric Auger), Anges Québec, Anges Québec Capital, GeneChem(Maxime Ranger), Genesys Capital(Jamie Stiff), T1D Fund(Jonathan Behr), Tarnagulla Ventures(William Mcnamee)",Drug Discovery,"Cannabis, Life Sciences","Developer of drugs to treat metabolic disorders. The company offers peripherally-restricted cannabinoid-1 receptor (CB1) inverse agonists/ antagonists for the treatment of Prader-Willi Syndrome (PWS), type 1 diabetes (T1D), obesity and other metabolic disorders such as non-alcoholic steatohepatitis (NASH).","Montreal, Canada",inversago.com,View company online
109717-21T,Serenity Bioworks,25-Jul-2018,Accelerator/Incubator,,0.25,3.13,"The company joined IndieBio on July 25, 2018 and received $250,000 in funding. Concurrently, SOSV invested in the company.",Completed,Accelerator/Incubator Backed,Startup,"IndieBio, SOSV(Cyril Ebersweiler)",Biotechnology,"HealthTech, TMT","Developer of gene therapies designed to analyze genes. The company's gene therapies are the parameters to treat hemophilia, inherited retinal diseases and neurodegenerative diseases, enabling doctors to enhance the long-term efficacy and safety profiles for gene therapy which resulting in safe and longer-lasting treatments for hemophilia A.","Kitchener, Canada",www.serenitybioworks.com,View company online
109353-16T,Thornhill Medical,19-Jul-2018,Later Stage VC,Series A,,,"The company raised an undisclosed amount of Series A venture funding in a deal led by Yonghua Capital on July 19, 2018. The company will use the funding to support working capital for its market released line of emergency mobile products, expand its global sales and marketing presence and continue clinical research in the fields of non-invasive cardiac and brain stress testing.",Completed,Venture Capital-Backed,Generating Revenue,Yonghua Capital(Tina Huang),Therapeutic Devices,Manufacturing,Developer and manufacturer of medical devices designed to transform diagnostic and therapeutic patient care. The company offers compact mobile emergency respiration and anesthesia devices.,"Toronto, Canada",thornhillmedical.com,View company online
91879-03T,TheraPten Biosciences,16-Jul-2018,Early Stage VC,,2.00,,"The company raised $2 million of venture funding from Columbia Technology Ventures and other undisclosed investors on July 16, 2018.",Completed,Venture Capital-Backed,Startup,Columbia Technology Ventures,Biotechnology,"Life Sciences, Oncology","Provider of pre clinical biotechnological research and development services intended to develop naturally-occurring anti-cancer therapeutic protein. The company's pre clinical biotechnological research and development services are focused in development of potent tumor suppressor proteins that are functionally inactivated in many human cancers, enabling client to find a treatment of cancer related diseases.","Kelowna, Canada",www.therapten.com,View company online
111010-33T,TryCycle Data Systems,30-Jun-2018,Later Stage VC,,0.26,1.76,"The company raised $255,000 of venture funding in a deal led by Connecticut Innovations on June 30, 2018, putting the company's pre-money valuation at $1.5 million. Other undisclosed investors also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,Connecticut Innovations,Outcome Management (Healthcare),"HealthTech, Mobile","Developer of a predictive health technology system that is designed to learn human behavior patterns in real time so that practitioners can address patients who are most at risk. The company's technology provides an early warning system that identifies the risk of relapse for each patient using regular self-assessments that are submitted to their treatment clinic, enabling practitioners to identify patients' triggers and change their behavior in recovery.","Ottawa, Canada",www.trycycledata.com,View company online
116086-15T,TryCycle Data Systems,25-Jun-2018,Accelerator/Incubator,,,,"The company joined University of Connecticut Technology Incubation Program on June 25, 2018.",Completed,Accelerator/Incubator Backed,Generating Revenue,University of Connecticut Technology Incubation Program,Outcome Management (Healthcare),"HealthTech, Mobile","Developer of a predictive health technology system that is designed to learn human behavior patterns in real time so that practitioners can address patients who are most at risk. The company's technology provides an early warning system that identifies the risk of relapse for each patient using regular self-assessments that are submitted to their treatment clinic, enabling practitioners to identify patients' triggers and change their behavior in recovery.","Ottawa, Canada",www.trycycledata.com,View company online
110290-06T,panCELLa,24-Jun-2018,Seed Round,Seed Round,1.00,,"The company raised $1 million of seed funding in a deal led by Chiefswood Holdings on June 24, 2018.",Completed,Corporate Backed or Acquired,Generating Revenue,Chiefswood Holdings,Other Healthcare Technology Systems,"Oncology, TMT","Provider of cell therapy intended for the treatment of degenerative and malignant diseases. The company's therapy offers absolute control of deregulated cell proliferation by creating a tight link between a drug inducible suicide gene and a gene essential to cell division, enabling regulators, clinicians and patients to access their technology for dividing, potentially malignant cells to be eliminated at will before or after transplantation.","Mississauga, Canada",www.pancella.com,View company online
107826-49T,CareGuide ( Software),21-Jun-2018,Later Stage VC,Series A,4.60,,"The company raised $6 million of Series A venture funding in a deal led by iNovia Capital and Plaza Ventures on June 21, 2018. Metric, Structure Capital, 500 Startups, FJ Labs, Conconi Growth Partners, Tiny Capital and 14 angel investors also participated in this round. The funds will be used to acquire Nannies4Hire.",Completed,Venture Capital-Backed,Generating Revenue,"500 Startups, Alex Conconi(Alex Conconi), Alkarim Nasser(Alkarim Nasser), Bernie Li(Bernie Li), Conconi Growth Partners, Corby Fine(Corby Fine), Dave Johnson(Dave Johnson), David Hamilton(David Hamilton), FJ Labs, Hashem Aboulhosn(Hashem Aboulhosn), Inovia Capital(Sarah Marion), Jacob Shea, Jillian Manus(Jillian Manus), Jim Murphy(Jim Murphy), Metric, Mike Walsh(Mike Walsh), Plaza Ventures, Rahul Parmar(Rahul Parmar), Structure Capital, Taylor Little(Taylor Little), Tiny Capital, Tom Predovic(Tom Predovic)",Application Software,"E-Commerce, HealthTech, TMT","Operator of an online marketplace designed to matches families with care providers through a portfolio of websites. The company's marketplace provides senior care, child care, pet care and home care services, enabling customers to find local care providers, including nannies, babysitters, pet sitters, elder-care providers and house sitters.","Toronto, Canada",www.careguide.com,View company online
108504-55T,Phenomic AI,19-Jun-2018,Seed Round,Seed Round,2.31,,"The company raised CAD 3 million of seed funding from Cantos Ventures, Hemi Ventures and Hike Ventures on June 19, 2018. Radical Ventures, Inovia Capital and Garage Technology Ventures also participated in the round.",Completed,Venture Capital-Backed,Startup,"Cantos Ventures, Garage Technology Ventures, Hemi Ventures, Hike Ventures, Inovia Capital, Radical Ventures",Other Software,"Artificial Intelligence & Machine Learning, Big Data, Life Sciences, Oncology, TMT","Developer of a drug discovery platform designed to discovery and optimize therapeutics directly against phenotypic assays. The company's platform uses artificial intelligence to analyze phenotypes in complex disease models including high-content co-culture and 3D assays, enabling pharmaceutical companies to discover drugs in an easier way.","Toronto, Canada",www.phenomic.ai,View company online
109413-82T,Aurin Biotech,18-Jun-2018,Angel (individual),Angel (individual),0.61,,"The company raised CAD 795,020 of angel funding from undisclosed investors on June 18, 2018.",Completed,Angel-Backed,Generating Revenue,,Biotechnology,Life Sciences,"Developer of a novel therapeutics created to control abnormal activation of the body's complement system. The company's drugs reduce complement-mediated tissue damage by inhibiting key steps in the complement cascade and is orally effective, enabling physicians to help rebalance complement activity in patients' immunity system and thus ameliorate disease symptoms.","Vancouver, Canada",www.aurinbiotech.com,View company online
108520-84T,Alavida,18-Jun-2018,Accelerator/Incubator,,,,"The company joined C100 Association as part of Summer 2018 Cohort on June 18, 2018.",Completed,Venture Capital-Backed,Generating Revenue,C100 Association,Clinics/Outpatient Services,,"Operator of a rehabilitation center designed to cure alcohol addiction. The company's center offers treatment program, targeted pharmacotherapy with a sequence of motivational interviewing and cognitive behavioral therapy, enabling alcohol addicted patients to get rid of their bad habits and lead a sober life.","Vancouver, Canada",www.alavida.co,View company online
108534-79T,Streamline Genomics,18-Jun-2018,Accelerator/Incubator,,,,"The company joined C100 Association as part on Summer 2018 Cohort on June 18, 2018.",Completed,Accelerator/Incubator Backed,Startup,C100 Association,Other Software,"Big Data, Life Sciences, Oncology, TMT","Developer of a genomics analysis platform to help clinicians and researchers use genomic sequencing. The company's platform handles terabytes of data during analysis
and help clinicians and researchers to benefit from genomic sequencing without the need for data analysis expertise, enabling clinicians to provide more effective cancer 
treatment as their tumor had been sequenced.","Montreal, Canada",www.streamlinegenomics.com,View company online
114308-29T,KisoJi Biotechnology,13-Jun-2018,Later Stage VC,,,,"The company raised an undisclosed amount of venture funding from Lumira Ventures and Remiges Ventures on June 13, 2018.",Completed,Venture Capital-Backed,Clinical Trials - Phase 1,"Lumira Ventures(Daniel Hetu), Remiges Ventures",Drug Discovery,"Life Sciences, Oncology","Developer of antibodies designed for the treatment of various cancers. The company is engaged in developing cancer therapeutics through antibodies and stem cells, enabling doctors to treat cancers easily.","Laval, Canada",www.actiumresearch.com,View company online
107376-49T,P&P Optica,12-Jun-2018,Early Stage VC,Series A,3.17,,"The company raised CAD 4.1 million of Series A venture funding in a deal led by Fulcrum Global Capital on June 12, 2018. Innovation In Motion and Canada EDC also participated in the round. The funds will be used to accelerate the deployment of the PPO Smart Imaging System in the food processing industry.",Completed,Venture Capital-Backed,Generating Revenue,"Export Development Canada, Fulcrum Global Capital(Kevin Lockett), Innovation In Motion",Other Business Products and Services,"Artificial Intelligence & Machine Learning, Big Data, TMT","Developer of Smart Imaging Systems designed to detect food contaminants and assess food quality. The company's hyper-spectral imaging system combines in-line smart imaging technology with data analytics in a novel way, enabling food processors to make sure the food is safer, higher quality and produced with less waste.","Waterloo, Canada",www.ppo.ca,View company online
115212-52T,KneeKG,07-Jun-2018,Accelerator/Incubator,,,,"The company joined Smart Health Innovation Lab as a part of its Inaugural Class on June 7, 2018 and received an undisclosed amount in funding.",Completed,Venture Capital-Backed,Generating Revenue,Smart Health Innovation Lab(Kim Ireland),Therapeutic Devices,,"Developer of a knee assessment device designed to transform the complete knee episode of care, making it more efficient with better outcomes. The company's device offers a knee diagnostic-aid and screening tool that generates actionable data and insight regarding the joint's movement while weight-bearing and enables for personalized therapies based on the cause of symptoms, enabling patients to reduce pain, opioid intake and recovery time.","Montreal, Canada",www.emovi.ca,View company online
119392-12T,ProteinQure,07-Jun-2018,Accelerator/Incubator,,,,"The company graduated from the quantum computing stream of the Creative Destruction Lab on June 7, 2018.",Completed,Accelerator/Incubator Backed,Generating Revenue,Creative Destruction Lab,Other Healthcare Technology Systems,Artificial Intelligence & Machine Learning,"Developer of a biotech platform intended to unlock the potential of protein-based therapeutics. The company's platform leverage quantum computing, molecular simulations and reinforcement learning to facilitate novel therapeutics engineering, enabling researchers and drug developers to engineer and design protein structures with efficacy.","Toronto, Canada",www.proteinqure.com,View company online
106982-29T,MetaOptima,05-Jun-2018,Later Stage VC,Series A,6.50,24.50,"The company raised $6.5 million of Series A venture funding from AirTree Ventures, Daniel Petre and Skip Capital on June 5, 2018, putting the company's pre-money valuation at $18 million.",Completed,Venture Capital-Backed,Generating Revenue,"AirTree Ventures(Daniel Petre), Daniel Petre(Daniel Petre), Skip Capital(Scott Farquhar)",Diagnostic Equipment,"Life Sciences, Mobile, Oncology, TMT","Developer of a health application designed to monitor, record and assess potentially cancerous skin lesions. The company's health application focuses on empowering high-risk patients with mobile health technologies and providing tools for regular skin screening and the early detection of skin cancer, enabling patients to diagnose skin problems in advance easily.","Vancouver, Canada",www.metaoptima.com,View company online
106967-44T,Qu Biologics,04-Jun-2018,Angel (individual),Angel (individual),0.05,,"The company raised $48,811 of angel funding from undisclosed investors on June 4, 2018.",Completed,Angel-Backed,Clinical Trials - Phase 2,,Biotechnology,"Life Sciences, Oncology, TMT","Developer of a site specific immunotherapy designed to restore the body's normal immune function to treat cancer and other immune-related diseases. The company's immunotherapy utilizes built-in knowledge to direct an activated innate immune response to specific organs or tissues to respond productively to any pathology that may be present at that body site and it contains components from a single inactivated microbial species that the immune system recognizes as a common cause of infection in a specific organ or tissue, enabling medical researchers to develop therapy that can activate and train human immune system to fight cancer and other diseases.","Burnaby, Canada",www.qubiologics.com,View company online
107670-34T,Medical Cytometrix,01-Jun-2018,Seed Round,Seed Round,2.72,11.26,"The company is in the process of raising CAD 3.5 million of seed funding from undisclosed investors as of June 1, 2018. The company expects to close the round on September 14, 2018.",Announced/In Progress,Pending Transaction (VC),Startup,,Laboratory Services (Healthcare),Life Sciences,"Developer of software technologies intended to assist in the diagnosis of human disease from blood samples. The company's technologies are designed to advance the state of the art of hematologic disease recognition, enabling its clients to receive a diagnosis based on human blood sample detection facility.","Vancouver, Canada",www.cytometrix.ca,View company online
119086-57T,Ardra Bio,01-Jun-2018,Seed Round,Seed Round,0.03,,"The company raised $30,000 of seed funding from Bioenterprise Canada on June 1, 2018.",Completed,Venture Capital-Backed,Startup,Bioenterprise Canada,Biotechnology,Life Sciences,"Owner and operator of a synthetic biology startup intended to produce specialty chemicals from natural ingredients. The company's chemicals are made using computational algorithms to identify new pathways to make chemicals from renewable feedstock and also using high-throughput enzyme screening and model-guided metabolic engineering to develop novel biocatalysts for production of chemicals from renewable feedstocks, enabling flavour and fragrance, and cosmetics industries to use natural ingredients at reduce production cost, steady supply and without seasonal variation.","Toronto, Canada",www.ardrabio.com,View company online
101042-65T,Careteam Technologies,01-Jun-2018,Seed Round,Seed Round,,,"The company raised an undisclosed amount of seed funding in a deal led by BCF Ventures on June 1, 2018. Atrium Ventures, StartUp Health, Right Side Capital Management, Globalive Capital, Barney Pell, Ajay Agarwal, New Avenue Capital and Pique Ventures also participated in the round.",Completed,Venture Capital-Backed,Generating Revenue,"Ajay Agarwal(Ajay Agarwal), Atrium Ventures, Barney Pell(Barney Pell), BCF Ventures, Globalive Capital, New Avenue Capital(Manny Padda), Pique Ventures, Right Side Capital Management, StartUp Health",Other Healthcare Technology Systems,"HealthTech, TMT","Provider of a care co-ordination platform intended to help patients, families and health care providers act effectively as a team. The company's care coordination platform helps in offering an integrated care plan and provides a dynamic list of events and appointments that can be updated and shared, enabling clients to receive insights about their patients who need pro-active attention through a single platform.","Vancouver, Canada",www.careteam.tech,View company online
121693-33T,HelpWear,01-Jun-2018,Accelerator/Incubator,,,,The company joined C100 Association as a part of Summer Cohort in June 2018.,Completed,Venture Capital-Backed,Generating Revenue,C100 Association,Monitoring Equipment,"Digital Health, TMT, Wearables & Quantified Self","Developer of a heart monitoring wearable device designed to achieve better at-home healthcare. The company's device is a 24/7 water-proof wearable heart monitoring system that stores cardiovascular data, detects when the user suffers a heart attack and sends real-time alerts for medical facilities via an emergency contact system, enabling patients suffering from heart ailments to find help from physicians and stay updated about checkups and personal health status even without visiting doctors.","Toronto, Canada",www.helpwear.ca,View company online
117458-65T,Neuraura,01-Jun-2018,Accelerator/Incubator,,,,The company graduated from Creative Destruction Lab in June 2018.,Completed,Accelerator/Incubator Backed,Startup,Creative Destruction Lab,Decision/Risk Analysis,HealthTech,"Developer of biosensors with micro/nanostructures technology created to provide more accurate captures of neural activity. The company's platform allows neurosurgeons to identify with more specificity abnormal brain function, enabling healthcare professionals to minimize the brain tissue removed during surgery and improving patient outcomes.","Calgary, Canada",www.neuraura.com,View company online
111386-44T,Retreat Guru,01-Jun-2018,Angel (individual),Angel (individual),,,"The company raised an undisclosed amount of angel funding by E-Fund on June 1, 2018.",Completed,Angel-Backed,Generating Revenue,E-Fund,Other Healthcare Services,"LOHAS & Wellness, SaaS","Developer of a retreat marketing and management platform intended to reconnect teachers, students and retreat centers as a global community to basic sanity and health by easily finding, reviewing and booking retreats worldwide. The company's platform is a dynamic whole health focused organization that brings exciting and authentic retreats, renowned teachers and practitioners together-in one place thus enabling people to wake up and inspire authentic retreats and reconnect with their innate wisdom, strength and kindness.","Nelson, Canada",www.retreat.guru,View company online
109653-85T,Sensory Technologies,01-Jun-2018,Accelerator/Incubator,,,,"The company joined EIT Health as a part of its Product Market Fit programme on June 1, 2018.",Completed,Venture Capital-Backed,Generating Revenue,EIT Health,Other Healthcare Technology Systems,TMT,"Provider of innovative medical facilities intended to prevent and replace medical treatment within private and public healthcare facilities. The company's medical facilities, empowers people with collaborative, transparent and accountable healthcare systems through innovative technology that is accessible and usable by all, enabling patients to stay in the comfort of their place of choice while receiving the medical attention that they need.","London, Canada",www.eshiftcare.com,View company online
125151-13T,Vercel,01-Jun-2018,Accelerator/Incubator,,,,"The company joined Hatchery (UofT) on June 1, 2018.",Completed,Accelerator/Incubator Backed,Startup,Hatchery (UofT),Other Devices and Supplies,,"Developer of a medical device intended for donor heart transportation. The company's device preserves the heart in a subzero preservation system, enabling the hospital to extend the life of the donor's heart.",Canada,,View company online
107192-35T,Izotropic (CNQ: IZO),31-May-2018,IPO,,0.16,1.75,"The company raised CAD 200,000 in its initial public offering on the CSE stock exchange under the ticker symbol of IZO on May 31, 2018. A total of 2,000,000 shares were sold at a price of CAD 0.10 per share. After the offering, there was a total of 22,499,999 outstanding shares (excluding the over-allotment option) priced at CAD 0.10 per share, valuing the company at CAD 2.25 million. The total proceeds, before expenses, to the company was CAD 200,000.",Completed,Corporation,Generating Revenue/Not Profitable,,Diagnostic Equipment,"Life Sciences, Oncology",Izotropic Corp is a Canada based company. It is engaged in the development and commercialization of the Isotrophic Breast Imaging System for application in proprietary diagnostic products for breast cancer.,"Surrey, Canada",www.izocorp.com,View company online
106628-68T,Precision Nanosystems,28-May-2018,Later Stage VC,Series B,6.00,,"The company raised $6 million of Series B venture funding from 5AM Ventures, Telegraph Hill Partners, Discovery Parks and Rising Tide Fund on May 28, 2018. The funds will be used to expand PNI's products and services globally and to provide a clinical manufacturing solution targeted at organizations developing precision and personalized nanomedicines.",Completed,Venture Capital-Backed,Generating Revenue,"5AM Ventures(Andrew Schwab), Discovery Parks, Rising Tide Fund, Telegraph Hill Partners(Deval Lashkari)",Drug Discovery,"Life Sciences, Nanotechnology, TMT","Developer of proprietary microfluidic devices designed for the simple, rapid, reproducible and cost-effective manufacture of next-generation lipid nanoparticles (LNP). The company's devices help in the development of lipid nanoparticles (LNP) that can be engineered to package and deliver a wide range of bioactive agents to cells and tissues in the body, including conventional or biologic drugs for disease treatment and imaging agents for disease diagnosis, enabling life sciences researchers to build strategic collaborations to revolutionize healthcare through nanotechnology.","Vancouver, Canada",www.precisionnanosystems.com,View company online
108604-36T,EIO Diagnostics,23-May-2018,Early Stage VC,,,,"The company raised an undisclosed amount of convertible debt financing from The Syndicate Fund, Techstars and Hemisphere Venturesand SOSV on May 23, 2018.",Completed,Venture Capital-Backed,Generating Revenue,"Hemisphere Ventures, SOSV(Shawn Broderick), Techstars, The Syndicate Fund",Diagnostic Equipment,"AgTech, Life Sciences, TMT","Producer animal health diagnostic technology for early indication of infection. The company's products detect infections in farm animals by using advanced imaging and machine learning to identify changes in the udder that indicate the earliest stages of infection, enabling farmers to identify sick animals earlier and improve their treatment options.",Canada,www.eiodiagnostics.com,View company online
121093-93T,Neurescence,23-May-2018,Accelerator/Incubator,,,,"The company joined MassChallenge as part of the 2018 Boston cohort on May 23, 2018 and received an undisclosed amount in funding.",Completed,Accelerator/Incubator Backed,Generating Revenue,MassChallenge(Kiki Johnston),Diagnostic Equipment,,"Developer of miniature microscope designed to simultaneously monitor the activities of neurons in multiple regions of the brain and the spinal cord of freely behaving subjects. The company's microscope uses brain imaging technology to cure brain diseases such as alzheimer's, epilepsy and depression, enabling healthcare providers to determine where in the brain to operate.","Toronto, Canada",www.neurescence.com,View company online
109987-66T,RadiomicsAI,18-May-2018,Early Stage VC,Series A,11.69,,"The company raised CAD 15 million of Series A venture funding in a deal led by IQGEN Holdings on May 18, 2018. Undisclosed investors also participated in this round. The funds will be used to expand its technology and business development teams in India and help to build the company's technology platform.",Completed,Venture Capital-Backed,Startup,IQGEN Holdings(Aman Iqbal),Other Healthcare Technology Systems,"Artificial Intelligence & Machine Learning, HealthTech, Oncology, TMT","Developer of a machine learning technology designed to automates the analysis of CT Scans, X-Rays and Magnetic Resonance Imaging scan. The company's technology detects and highlights abnormalities for various diseases including bone, neurology, oncology and tuberculosis, enabling patients and medical practitioners in reducing the chances of missing a diagnosis.","Toronto, Canada",www.radiomicsai.com,View company online
106403-41T,Circle Cardiovascular Imaging,16-May-2018,Later Stage VC,Series A,12.48,,"The company raised CAD 16 million of Series A venture funding in a deal led by Kayne Anderson Capital Advisors and Yaletown Partners on May 16, 2018. The funding will be used to expand and commercialize its product globally.",Completed,Venture Capital-Backed,Generating Revenue,"Kayne Anderson Capital Advisors(Nishita Cummings), Yaletown Partners(Hans Knapp)",Decision/Risk Analysis,"Artificial Intelligence & Machine Learning, Big Data, HealthTech, TMT","Provider of a cardiovascular imaging post-processing software intended to diagnose complex cardiovascular diseases easily. The company's software uses big data and deep learning includes cmr42, an application for managing and evaluating cardiovascular magnetic resonance image, enabling doctors to get complete effective and precise analysis in complex diseases.","Calgary, Canada",www.circlecvi.com,View company online
85637-17T,Navigate Surgical,11-May-2018,Angel (individual),Angel (individual),0.91,,"The company raised $913,139 of angel funding from an undisclosed investor on May 11, 2018.",Completed,Angel-Backed,Generating Revenue,,Surgical Devices,Digital Health,"Developer of motion tracking and three-dimension visualization tools designed to help in dental surgical procedures and dental education. The company's tools provide visual, real-time and accurate guidance for dental implant surgery and advanced simulation, enabling doctors to treat dental diseases with precision.","Vancouver, Canada",www.navigatesurgical.com,View company online
120348-46T,HelpWear,07-May-2018,Accelerator/Incubator,,,,"The company joined The Next Canada as part of the 2018 cohort on May 7, 2018.",Completed,Venture Capital-Backed,Generating Revenue,The Next Canada(Som Seif),Monitoring Equipment,"Digital Health, TMT, Wearables & Quantified Self","Developer of a heart monitoring wearable device designed to achieve better at-home healthcare. The company's device is a 24/7 water-proof wearable heart monitoring system that stores cardiovascular data, detects when the user suffers a heart attack and sends real-time alerts for medical facilities via an emergency contact system, enabling patients suffering from heart ailments to find help from physicians and stay updated about checkups and personal health status even without visiting doctors.","Toronto, Canada",www.helpwear.ca,View company online
117994-15T,Health Yourself Guide,01-May-2018,Seed Round,Seed Round,,,The company raised seed funding from Ontario Centres of Excellence in May 2018.,Completed,Venture Capital-Backed,Startup,Ontario Centres of Excellence,Other Healthcare Services,,"Provider of healthcare media services intended to improve healthcare education using videos. The company's offerings include publishing informative videos that combine patient storytelling, doctor interviews and preventative care tips and tricks, enabling patients to educate and empower themselves and increase patient engagement in their path to recovery.","Toronto, Canada",www.healthyourselfguide.com,View company online
117997-21T,InnovoGENE Biosciences,01-May-2018,Seed Round,Seed Round,,,The company raised seed funding from Ontario Centres of Excellence in May 2018.,Completed,Venture Capital-Backed,Generating Revenue,Ontario Centres of Excellence,Diagnostic Equipment,Life Sciences,"Developer of diagnostic sensors intended to target pathogenic bacteria. The company's sensors create a series of probes based on a molecular material known as functional nucleic acids, enabling medical industries to accurately identify pathogens in a variety of environmental and biological samples without loss of efficiency.","Burlington, Canada",www.innovogene.com,View company online
115923-79T,Nanology Labs,01-May-2018,Accelerator/Incubator,,,,"The company Graduated from University of Toronto Early-Stage Technology Program's 2018 Cohort on May 1, 2018.",Completed,Accelerator/Incubator Backed,Startup,The UTEST Program,Biotechnology,"Life Sciences, Oncology","Developer of a medical technology intended to provide early stage cancer detection. The company's platform detects solid tumors using MRI and sensitizes cancer cells for maximized radiation therapy performance, enabling doctors to illuminate tumors, including those in the brain.","Toronto, Canada",www.nanologylabs.com,View company online
121879-54T,Puzzle Medical Devices,01-May-2018,Accelerator/Incubator,,,,The company joined Centech Accelerator in May 2018.,Completed,Accelerator/Incubator Backed,Startup,Centech Accelerator,Diagnostic Equipment,HealthTech,"Manufacturer of minimally invasive medical devices intended to offer the first long-term hemodynamic support which is implanted using a proprietary transcatheter technology. The company's medical devices are implanted using innovative methods to implant and assemble devices inside the human body, render hemodynamic support safer, reduce the global economic burden of heart failure, enabling caregivers to reduce complications and offer treatment options for frail patients.","Montreal, Canada",www.puzzlemed.com,View company online
105308-47T,Alavida,30-Apr-2018,Early Stage VC,,1.57,,"The company raised CAD 2 million of venture funding in a deal led by Discovery Parks on April 30, 2018. Other undisclosed investors also participated in this round. The financing will be used to accelerate access in new locations to physicians, therapists and program materials from the privacy and comfort of home.",Completed,Venture Capital-Backed,Generating Revenue,Discovery Parks,Clinics/Outpatient Services,,"Operator of a rehabilitation center designed to cure alcohol addiction. The company's center offers treatment program, targeted pharmacotherapy with a sequence of motivational interviewing and cognitive behavioral therapy, enabling alcohol addicted patients to get rid of their bad habits and lead a sober life.","Vancouver, Canada",www.alavida.co,View company online
